1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 1 0 1 0 1 1 1 1 1,#21a41c
1 0 1 1 1 0 1 0 0 1 0,#888e38
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 0 0 0 1 0 0 1 0,#2078be
0 0 0 0 1 0 1 0 0 1 0,#48db7f
1 0 1 1 1 1 1 0 0 1 0,#f77257
1 0 0 1 1 0 1 0 0 1 1,#a125e5
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 0 1 1 1 1 1 0 0 1 1,#687c58
1 0 1 0 1 0 1 1 1 1 1,#21a41c
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 1 1 1 0 0 0 0 0 0,#d36c31
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 1 1 1 0 0 0 0 0 0,#d36c31
0 0 1 1 0 0 1 0 0 1 1,#1ce004
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 1 1 0 1 0 0 1 1,#a125e5
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 1 1 1 1 1 0 0 1 0,#f77257
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 1 1 0 0 1 0 0 1 1,#4707f3
0 0 0 0 1 0 1 0 0 1 0,#48db7f
0 0 1 1 0 0 1 0 0 1 1,#1ce004
1 0 1 0 1 0 1 1 1 1 1,#21a41c
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 1 0 1 0 1 1 1 1 1,#21a41c
0 0 1 1 0 0 1 0 0 1 1,#1ce004
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 1 1 1 0 0 0 0 0 0,#d36c31
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 1 1 1 0 0 0 0 0 0,#d36c31
1 0 1 0 1 0 1 1 1 1 1,#21a41c
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 1 0 1 1 0 1 1 1,#52597a
0 0 1 1 0 0 1 0 0 1 1,#1ce004
1 0 0 1 1 0 1 0 0 0 1,#20b64e
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 1 0 1 0 0 0 0 1 1,#de6c78
0 0 1 1 0 0 1 0 0 1 1,#1ce004
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 0 1 1 0 1 0 0 0 1,#20b64e
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 1 1 1 1 1 0 0 1 0,#f77257
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 1 1 1 1 0 0 1 1,#687c58
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 0 1 1 1 0 0 0 0 0 0,#d36c31
1 1 0 1 1 0 1 0 1 1 1,#6fc925
0 0 0 0 1 0 1 0 0 1 0,#48db7f
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 0 0 0 1 0 0 1 0,#2078be
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 0 0 0 1 0 0 1 0,#2078be
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 0 1 1 0 1 1 0 1 0,#ca920a
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 0 0 0 1 0 0 1 0,#34496c
0 0 1 1 0 0 1 0 0 1 1,#1ce004
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 1 1 1 1 0 0 1 0,#f77257
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 1 1 0 1 0 0 1 1,#a125e5
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 0 1 1 0 1 1 0 1 0,#ca920a
1 0 1 1 1 1 1 0 0 1 1,#687c58
1 1 0 1 1 0 1 0 1 1 1,#6fc925
0 0 1 1 0 0 1 0 0 1 1,#1ce004
1 0 0 1 1 0 1 0 0 1 1,#a125e5
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 1 1 1 1 1 0 0 1 0,#f77257
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 1 1 1 1 0 0 1 1,#687c58
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
0 0 1 1 0 0 1 0 0 1 1,#1ce004
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 0 0 0 1 0 0 1 0,#2078be
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 1 1 1 1 1 0 0 1 0,#f77257
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 0 1 1 1 0 1 0 0 1 0,#888e38
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 0 0 1 0 1 0 1 1 0,#cdd2c0
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 0 1 1 0 1 0 0 1 1,#a125e5
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 1 1 1 1 0 0 1 1,#687c58
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 1 0 1 0 0 0 0 1 1,#de6c78
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 1 1 1 0 1 0 0 1 1,#6f0dee
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 1 1 1 0 1 0 0 1 0,#888e38
1 0 1 0 0 0 1 0 0 1 0,#34496c
1 0 0 0 0 0 1 0 0 1 0,#2078be
1 0 0 0 1 0 1 1 1 1 0,#d7af0d
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 0 1 1 1 1 1 0 0 1 0,#f77257
1 0 1 1 0 0 1 0 0 1 1,#4707f3
1 0 0 1 0 1 1 0 1 1 1,#52597a
1 0 0 1 1 0 1 0 0 0 1,#20b64e
1 0 0 1 0 1 1 0 0 1 1,#2a0c2e
1 1 0 1 1 0 1 0 1 1 1,#6fc925
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
1 1 1 0 0 0 1 0 0 1 0,#8c33cb
